ScanNumber	ImageOrSpectrum	FullOrROI	AcquireOrFocus	NumFrames	NumAccum	ExposureTime	ROIX1Start	ROIX1End	ROIY1Start	ROIY1End	HHG(mbar)	Target(mbar)	ValveHHG	ValveTarget	ZPositionHHG	ZPositionTarget	InitialPower	IrisPosition	TDPosition	XPositionTarget	Wedge1Pos	Wedge2Pos	MirrorFarX	MirrorFarY	MirrorNearX	MirrorNearY	CEP	Notes
1523	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.036	66.745	0.000	0.000	0.000	0.000	0.000	60.000	104.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1524	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.036	66.745	0.000	0.000	0.000	0.000	0.000	60.000	104.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1525	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.036	66.745	0.000	0.000	0.000	0.000	0.000	60.000	104.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1526	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.996	66.720	0.000	0.000	0.000	0.000	0.000	60.000	104.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1527	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.900	66.994	0.000	0.000	0.000	0.000	0.000	60.000	104.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1528	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.900	66.994	0.000	0.000	0.000	0.000	0.000	60.000	104.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1529	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.335	66.946	0.000	0.000	0.000	0.000	0.000	60.000	104.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1530	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.682	66.865	0.000	0.000	0.000	0.000	0.000	60.000	104.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1531	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.682	66.865	0.000	0.000	0.000	0.000	0.000	60.000	104.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1532	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.964	66.865	0.000	0.000	0.000	0.000	0.000	60.000	104.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1533	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.964	66.865	0.000	0.000	0.000	0.000	0.000	60.000	104.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1534	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.932	66.849	0.000	0.000	0.000	0.000	0.000	60.000	104.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1535	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.932	66.849	0.000	0.000	0.000	0.000	0.000	60.000	105.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1536	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.141	67.099	0.000	0.000	0.000	0.000	0.000	60.000	105.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1537	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.141	67.099	0.000	0.000	0.000	0.000	0.000	60.000	105.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1538	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.690	66.898	0.000	0.000	0.000	0.000	0.000	60.000	105.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1539	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.690	66.898	0.000	0.000	0.000	0.000	0.000	60.000	105.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1540	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.238	66.656	0.000	0.000	0.000	0.000	0.000	60.000	105.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1541	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.746	66.938	0.000	0.000	0.000	0.000	0.000	60.000	105.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1542	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.746	66.938	0.000	0.000	0.000	0.000	0.000	60.000	105.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1543	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.085	66.825	0.000	0.000	0.000	0.000	0.000	60.000	105.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1544	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.157	66.777	0.000	0.000	0.000	0.000	0.000	60.000	105.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1545	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.157	66.777	0.000	0.000	0.000	0.000	0.000	60.000	105.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
